KNO_ID,ADRESSE_STRASSE,ADRESSE_ORTSTEIL,ADRESSE_POSTLEITZAHL,BEZIRK,DIENSTSTELLE,DUEKER,GEFAEHRDETER_KANAL,GEFAELLE,KANALSYSTEM,LAENGE,LAGE,MATERIALART,PROFILBREITE,PROFILHOEHE,PUMPWERK,SCHILDER_BENOETIGT,SONDERKANAL,WASSERSCHUTZZONE_ZONE,ATMOSPHAERE_SAUERSTOFFMANGEL,ATMOSPHAERE_SCHWEFELWASSERSTOFF,ATMOSPHAERE_METHAN,ATMOSPHAERE_ANDEREGEFAEHRDUNG,ATMOSPHAERE_BEMERKUNG,STILLGELEGT,ATMOSPHAERE_ASBESTZEMENT,ANZAHL_ABZWEIGE,BAUJAHR,BEARBEITER_NAME,BEARBEITER_ZEITPUNKT,BEMERKUNGEL,BUCHUNGSNUMMER_TYP,BUCHUNGSNUMMER_TEXT,ABLAGERUNGEN_FEINESMATERIAL,ABLAGERUNGEN_GROBESMATERIAL,ABLAGERUNGEN_HARTESMATERIAL,ABLAGERUNGEN_ANDERESMATERIAL,ABLAGERUNGEN_KATZENSTREU,ABLAGERUNGEN_LUMPEN,ABLAGERUNGENSTAND_VERSTOPFUNG,ABLAGERUNGENSTAND_PROZENT,ABLAGERUNGENSTAND_HOEHE,ABLAGERUNGENSTAND_SAND,ANHAFTENDESTOFFE_INKRUSTATION,ANHAFTENDESTOFFE_FETT,ANHAFTENDESTOFFE_FAEULNIS,ANHAFTENDESTOFFE_ANDERERSTOFF,ANHAFTENDESTOFFE_WASSERSTEIN,ANHAFTENDESTOFFE_OEL,EMPFOHLENE_REINIGUNGSKLASSE,GERUCHSBELAESTIGUNG,ORIGINAL_REINIGUNGSKLASSE,RATTENBEFALL_FESTGESTELLT,REINIGUNG_GEREINIGT,REINIGUNG_GERAEUMT,REINIGUNG_GERAEUMTE_MENGE,WASSERSTAND_WASSERAUSTRITT,WASSERSTAND_WENIGFLUSS,WASSERSTAND_PROZENT,WASSERSTAND_HOEHE,UNTERLAUFVERSTOPFUNG,REINIGUNG_RAEUMZEITPUNKT,ABLAGERUNGEN_LAUB,UNZULAESSIGE_EINLEITUNG
77.49.179.17/1,0 Eagan Circle,Utah,84189,UT,Salt Lake City,1,true,13.5,,1295,Industrie,Ziegel,400,400,HPW SCHOE Schöneberg Königstr.,false,false,true,true,true,true,false,Schlecht,true,false,3,1990,,31.8.2016,,,,false,false,false,true,true,true,false,27,16.6,18.62,true,true,true,false,false,false,4,true,2,false,false,true,4,true,false,77,17,true,26.9.2006,true,false
60.142.41.244/23,4013 Debra Road,Louisiana,71151,LA,Shreveport,0,false,14.71,,1213,Industrie,Ziegel,100,200,HPW WEG Wedding Otawistr.,true,true,false,false,true,true,true,"",true,false,0,1999,,17.3.2017,,,,false,true,false,false,false,true,false,58,20.2,4.19,false,true,true,false,false,false,2,true,0,true,true,false,28,false,false,63,99,false,3.5.1996,false,true
90.202.193.228/21,274 Merrick Lane,Texas,78220,TX,San Antonio,0,false,18.32,,397,Gehweg,Stein,400,500,HPW WEG Wedding Otawistr.,true,true,false,false,false,true,false,Keine Bemerkung,true,false,3,1990,,30.7.2016,,,,false,true,true,false,true,true,true,68,3.0,18.75,true,true,false,false,true,true,1,false,5,false,false,true,47,false,true,32,26,false,9.6.2010,false,false
37.220.221.176/26,158 Hooker Court,New Hampshire,00214,NH,Portsmouth,1,false,15.31,,2949,Industrie,Ziegel,200,100,HPW WEG Wedding Otawistr.,false,true,false,false,true,true,true,Etwas nötig,false,true,2,1990,,19.4.2017,,,,false,true,false,true,false,true,false,25,22.8,12.07,false,false,true,false,false,false,3,true,2,true,true,false,13,false,false,25,19,false,24.8.2004,true,true
22.91.57.210/8,91727 Melrose Place,Virginia,24024,VA,Roanoke,0,true,5.29,,1197,Gehweg,Ziegel,300,500,HPW KAR Karow Pankgrafenstr.,true,false,true,false,true,false,true,"",false,true,4,1990,,29.11.2016,,,,false,true,true,false,false,false,true,5,2.9,28.12,false,false,false,true,true,true,1,false,3,true,true,true,38,true,false,65,81,false,30.8.2005,true,true
204.74.21.30/12,3511 Mcguire Court,Georgia,31410,GA,Savannah,1,false,19.29,,1835,Gehweg,Stein,200,200,HPW WEG Wedding Otawistr.,true,false,true,true,true,true,true,Schlecht,true,false,3,1992,,29.1.2016,,,,true,true,false,false,true,false,true,94,24.9,18.78,true,false,true,false,true,true,3,true,3,true,true,false,36,true,true,78,75,false,22.9.1997,true,false
53.205.161.220/31,044 Esch Circle,Georgia,30905,GA,Augusta,1,true,10.34,,77,Industrie,Ziegel,300,400,HPW KAR Karow Pankgrafenstr.,true,true,true,false,false,true,false,Schlecht,true,false,1,1990,,1.5.2017,,,,true,true,false,false,false,true,true,2,15.6,24.99,true,true,false,true,true,true,4,true,4,false,true,false,14,true,true,5,68,false,18.12.2007,true,false
55.94.38.183/28,5378 Stang Alley,Nevada,89036,NV,North Las Vegas,0,false,10.97,,3469,Gehweg,Ziegel,400,500,HPW WEG Wedding Otawistr.,false,false,true,true,false,true,true,"",true,false,0,1995,,23.2.2017,,,,true,true,false,true,false,true,true,62,16.0,3.41,false,true,false,false,true,false,2,true,0,false,true,false,40,true,false,78,46,false,17.11.1990,false,true
230.80.129.71/11,8565 Golden Leaf Terrace,Indiana,46805,IN,Fort Wayne,1,true,6.79,,1547,Industrie,Mauerwerk,300,200,HPW WEG Wedding Otawistr.,true,false,true,false,false,true,true,Keine Bemerkung,true,true,2,204,,13.9.2016,,,,false,true,true,true,false,false,false,100,14.3,1.72,false,false,true,true,false,false,5,false,5,true,true,false,18,false,true,73,17,true,17.9.2001,true,true
121.90.129.94/7,51 Pawling Crossing,Alabama,35225,AL,Birmingham,0,true,19.12,,1703,Strasse,Ziegel,500,400,HPW WEG Wedding Otawistr.,false,true,false,false,true,false,true,"",true,true,1,204,,16.11.2015,,,,true,false,false,false,false,true,true,61,19.9,17.54,false,false,true,true,true,false,2,true,4,true,false,false,39,true,false,49,77,true,28.2.1991,true,true
